TokenID,Species,Equipment,Realm,Curse,Name,Story,Rarity,Synergy,SpeciesID,ItemID,BackgroundID,EffectID,OriginalEffectID
1,Werewolf,Crown,Bloodmoon,Mind Blast,"Crimson Moon Stalker #1","Under the crimson gaze, the beast stalks with primal fury its screams shatter sanity.",Legendary,"",0,0,0,1,1
2,Dragon,Scythe,Void,Burning,"Void Ancient Wyrm #2","At existence's edge, this terror hoards cursed treasures while flames consume endlessly.",Common,"",4,6,5,8,8
3,Skeleton,Poison,Abyss,Poisoning,"Hollow One #3","From the endless void, ancient bones clutch their relics leaving toxic death behind.",Common,"",9,3,1,5,5
4,Demon,Crown,Frost,Confusion,"Frozen Fiend Lord #4","In frozen wastes, the infernal lord reigns spreading fractured chaos.",Uncommon,"",3,0,7,2,2
5,Succubus,Scythe,Decay,Brain Wash,"Soul Temptress #5","In rotting wastelands, the temptress ensnares souls enslaving minds with madness.",Uncommon,"",8,6,2,9,9
6,Frankenstein,Poison,Ragnarok,Lightning,"Last Toxic Creation #6","As the world ends, this creation defies nature beneath electric fury.",Rare,"",2,3,8,6,6
7,Mummy,Crown,Venom,Meteor,"Ancient Guard #7","In toxic mists, this guardian endures eternally while heavens rain destruction.",Legendary,"",7,0,4,3,3
8,Goblin,Staff,Shadow,Seizure,"Shadow Gremlin #8","In shadow's reach, the goblin plots mischief causing reality to convulse.",Common,"",1,7,9,0,0
9,Vampire,Poison,Void,Blizzard,"Void Eternal Hunter #9","At existence's edge, this nightwalker hunts eternally as frozen winds tear reality.",Common,"",6,3,5,7,7
10,Goblin,Crown,Abyss,Bats,"Shadow Gremlin #10","From the endless void, the goblin plots mischief commanding nightborn servants.",Common,"",1,0,1,4,4
11,Zombie,Staff,Inferno,Mind Blast,"Infernal Shambling Dead #11","Within eternal flames, this corpse shambles onward its screams shatter sanity.",Uncommon,"",5,7,6,1,1
12,Werewolf,Poison,Decay,Burning,"Moon Stalker #12","In rotting wastelands, the beast stalks with primal fury while flames consume endlessly.",Uncommon,"",0,3,2,8,8
13,Dragon,Crown,Ragnarok,Poisoning,"Last Drake Lord #13","As the world ends, the wyrm reclaims dominion leaving toxic death behind.",Legendary,"",4,0,8,5,5
14,Skeleton,Staff,Corruption,Confusion,"Corrupted Hollow One #14","Where reality breaks, ancient bones clutch their relics spreading fractured chaos.",Rare,"",9,7,3,2,2
15,Demon,Poison,Shadow,Brain Wash,"Fiend Lord #15","In shadow's reach, the infernal lord reigns enslaving minds with madness.",Legendary,"",3,3,9,9,9
16,Succubus,Crown,Void,Lightning,"Void Soul Temptress #16","At existence's edge, the temptress ensnares souls beneath electric fury.",Common,"",8,0,5,6,6
17,Demon,Staff,Bloodmoon,Meteor,"Crimson Fiend Lord #17","Under the crimson gaze, the infernal lord reigns while heavens rain destruction.",Common,"",3,7,0,3,3
18,Mummy,Torch,Inferno,Seizure,"Infernal Ancient Guard #18","Within eternal flames, this guardian endures eternally causing reality to convulse.",Common,"",7,4,6,0,0
19,Frankenstein,Crown,Decay,Blizzard,"Stitched Horror #19","In rotting wastelands, this creation defies nature as frozen winds tear reality.",Uncommon,"",2,0,2,7,7
20,Vampire,Staff,Frost,Bats,"Frozen Eternal Hunter #20","In frozen wastes, this nightwalker hunts eternally commanding nightborn servants.",Uncommon,"",6,7,7,4,4
21,Goblin,Torch,Corruption,Mind Blast,"Corrupted Shadow Gremlin #21","Where reality breaks, the goblin plots mischief its screams shatter sanity.",Rare,"",1,4,3,1,1
22,Zombie,Crown,Shadow,Burning,"Shambling Dead #22","In shadow's reach, this corpse shambles onward while flames consume endlessly.",Epic,"",5,0,9,8,8
23,Werewolf,Staff,Venom,Poisoning,"Toxic Miasma","A poisonous fog that corrupts all it touches.",Legendary,"Toxic Miasma",0,7,4,5,5
24,Zombie,Torch,Bloodmoon,Confusion,"Crimson Shambling Dead #24","Under the crimson gaze, this corpse shambles onward spreading fractured chaos.",Common,"",5,4,0,2,2
25,Skeleton,Crown,Inferno,Brain Wash,"Infernal Hollow One #25","Within eternal flames, ancient bones clutch their relics enslaving minds with madness.",Common,"",9,0,6,9,9
26,Dragon,Staff,Abyss,Lightning,"Ancient Wyrm #26","From the endless void, this terror hoards cursed treasures beneath electric fury.",Common,"",4,7,1,6,6
27,Succubus,Torch,Frost,Meteor,"Frozen Soul Temptress #27","In frozen wastes, the temptress ensnares souls while heavens rain destruction.",Uncommon,"",8,4,7,3,3
28,Demon,Sword,Corruption,Seizure,"Corrupted Hell Blade #28","Where reality breaks, this fiend wields torment causing reality to convulse.",Uncommon,"",3,1,3,0,0
29,Mummy,Staff,Ragnarok,Blizzard,"Last Tomb Priest #29","As the world ends, the pharaoh commands divinely as frozen winds tear reality.",Rare,"",7,7,8,7,7
30,Frankenstein,Torch,Venom,Bats,"Stitched Horror #30","In toxic mists, this creation defies nature commanding nightborn servants.",Epic,"",2,4,4,4,4
31,Mummy,Sword,Bloodmoon,Mind Blast,"Crimson Desert Warrior #31","Under the crimson gaze, the desert warrior stands eternal its screams shatter sanity.",Common,"",7,1,0,1,1
32,Goblin,Staff,Void,Burning,"Void Shadow Gremlin #32","At existence's edge, the goblin plots mischief while flames consume endlessly.",Common,"",1,7,5,8,8
33,Vampire,Torch,Abyss,Poisoning,"Eternal Hunter #33","From the endless void, this nightwalker hunts eternally leaving toxic death behind.",Common,"",6,4,1,5,5
34,Werewolf,Sword,Frost,Confusion,"Frozen Moon Stalker #34","In frozen wastes, the beast stalks with primal fury spreading fractured chaos.",Uncommon,"",0,1,7,2,2
35,Zombie,Staff,Decay,Brain Wash,"Shambling Dead #35","In rotting wastelands, this corpse shambles onward enslaving minds with madness.",Uncommon,"",5,7,2,9,9
36,Skeleton,Torch,Ragnarok,Lightning,"Last Hollow One #36","As the world ends, ancient bones clutch their relics beneath electric fury.",Uncommon,"",9,4,8,6,6
37,Dragon,Sword,Venom,Meteor,"Wyrm Knight #37","In toxic mists, the drake wields dragonfire steel while heavens rain destruction.",Rare,"",4,1,4,3,3
38,Succubus,Shoulder,Shadow,Seizure,"Soul Temptress #38","In shadow's reach, the temptress ensnares souls causing reality to convulse.",Epic,"",8,8,9,0,0
39,Demon,Torch,Void,Blizzard,"Void Flame Bearer #39","At existence's edge, the hellspawn lights perdition's path as frozen winds tear reality.",Common,"",3,4,5,7,7
40,Succubus,Sword,Abyss,Bats,"Soul Temptress #40","From the endless void, the temptress ensnares souls commanding nightborn servants.",Common,"",8,1,1,4,4
41,Frankenstein,Arm,Inferno,Mind Blast,"The Collector","The shoulder armor is actually a collection of harvested arms, still twitching with unnatural life.",Uncommon,"The Collector",2,8,6,1,1
42,Mummy,Torch,Decay,Burning,"Ancient Guard #42","In rotting wastelands, this guardian endures eternally while flames consume endlessly.",Legendary,"",7,4,2,8,8
43,Goblin,Sword,Ragnarok,Poisoning,"Last Cave Raider #43","As the world ends, the goblin plots mischief leaving toxic death behind.",Uncommon,"",1,1,8,5,5
44,Vampire,Shoulder,Corruption,Confusion,"Corrupted Eternal Hunter #44","Where reality breaks, this nightwalker hunts eternally spreading fractured chaos.",Rare,"",6,8,3,2,2
45,Werewolf,Torch,Shadow,Brain Wash,"Moon Stalker #45","In shadow's reach, the beast stalks with primal fury enslaving minds with madness.",Epic,"",0,4,9,9,9
46,Zombie,Sword,Void,Lightning,"Void Shambling Dead #46","At existence's edge, this corpse shambles onward beneath electric fury.",Legendary,"",5,1,5,6,6
47,Werewolf,Shoulder,Bloodmoon,Meteor,"Crimson Beast Warrior #47","Under the crimson gaze, the beast stalks with primal fury while heavens rain destruction.",Common,"",0,8,0,3,3
48,Dragon,Wine,Inferno,Seizure,"Infernal Ancient Wyrm #48","Within eternal flames, this terror hoards cursed treasures causing reality to convulse.",Common,"",4,5,6,0,0
49,Skeleton,Sword,Decay,Blizzard,"Hollow One #49","In rotting wastelands, ancient bones clutch their relics as frozen winds tear reality.",Common,"",9,1,2,7,7
50,Demon,Shoulder,Frost,Bats,"Frozen Fiend Lord #50","In frozen wastes, the infernal lord reigns commanding nightborn servants.",Uncommon,"",3,8,7,4,4
51,Succubus,Wine,Corruption,Mind Blast,"Corrupted Desire Maiden #51","Where reality breaks, the temptress ensnares souls its screams shatter sanity.",Uncommon,"",8,5,3,1,1
52,Frankenstein,Sword,Shadow,Burning,"Stitched Horror #52","In shadow's reach, this creation defies nature while flames consume endlessly.",Rare,"",2,1,9,8,8
53,Mummy,Arm,Venom,Poisoning,"Toxic Miasma","A poisonous fog that corrupts all it touches.",Legendary,"Toxic Miasma",7,8,4,5,5
54,Frankenstein,Wine,Bloodmoon,Confusion,"Crimson Stitched Horror #54","Under the crimson gaze, this creation defies nature spreading fractured chaos.",Common,"",2,5,0,2,2
55,Vampire,Sword,Inferno,Brain Wash,"Infernal Eternal Hunter #55","Within eternal flames, this nightwalker hunts eternally enslaving minds with madness.",Common,"",6,1,6,9,9
56,Goblin,Shoulder,Abyss,Lightning,"Shadow Gremlin #56","From the endless void, the goblin plots mischief beneath electric fury.",Common,"",1,8,1,6,6
57,Zombie,Wine,Frost,Meteor,"Frozen Shambling Dead #57","In frozen wastes, this corpse shambles onward while heavens rain destruction.",Uncommon,"",5,5,7,3,3
58,Werewolf,Shield,Corruption,Seizure,"Corrupted Moon Stalker #58","Where reality breaks, the beast stalks with primal fury causing reality to convulse.",Uncommon,"",0,2,3,0,0
59,Dragon,Shoulder,Ragnarok,Blizzard,"Last Ancient Wyrm #59","As the world ends, this terror hoards cursed treasures as frozen winds tear reality.",Uncommon,"",4,8,8,7,7
60,Skeleton,Wine,Venom,Bats,"Hollow One #60","In toxic mists, ancient bones clutch their relics commanding nightborn servants.",Rare,"",9,5,4,4,4
